Bill,Summary,Issues
Striking EPA Funding for Climate Action,"Senator Shelley Moore Capito (R-WV) sponsored an amendment to H.R. 5376, the Inflation Reduction Act (IRA) of 2022, that would strike a provision in the IRA that provides funding for the Environmental Protection Agency (EPA) to regulate greenhouse gas emissions under its existing Clean Air Act authority. This funding would not have added any new regulatory authority to the EPA, and it complied with the Supreme Court’s repeated rulings - including in their 2022 West Virginia v. EPA decision - that greenhouse gasses are air pollutants that may be regulated under the Clean Air Act. The EPA is in the process of developing a series of critical greenhouse gas, environmental, and public health regulations, and this funding would aid this critical work. On August 7, the Senate rejected the Capito amendment by a vote of 50-50 (Senate roll call vote 293). NO IS THE PRO-ENVIRONMENT VOTE. Subsequent, but unrelated to this failed vote, the provision to provide additional EPA funding was stricken via a budgetary point of order due to the rules governing budget reconciliation.","Climate Change, Clean Air"
Undermining Bedrock Environmental Statutes,"Senator Shelley Moore Capito (R-WV) sponsored an amendment to H.R. 5376, the Inflation Reduction Act (IRA) of 2022, that would significantly undercut and weaken multiple bedrock environmental laws, including the National Environmental Policy Act, Clean Air Act, Clean Water Act, and the Endangered Species Act. In effect, the amendment would expedite permitting for oil and gas and other polluting projects, while threatening the health and safety of frontline communities and the environment. On August 7, the Senate rejected the Capito amendment by a vote of 49-50 (Senate roll call vote 300). NO IS THE PRO-ENVIRONMENT VOTE.","Dirty Energy, Environmental Justice, Clean Air and Clean Water, Other"
Eliminating Cost-saving Home Energy Efficiency Program,"Senator Mike Lee (R-UT) sponsored an amendment to H.R. 5376, the Inflation Reduction Act (IRA) of 2022, which would eliminate $460 million from the Home Owner Managing Energy Savings (HOMES) rebate program administered by state governments and instead direct the funding to local governments as general supplemental payments. The HOMES program helps residents make their homes more energy efficient and less costly to run and maintain comfortable indoor temperatures by providing increasing amounts of rebates for increasing percentages of energy saved: for a 35% reduction in energy use, a homeowner could get up to $4,000 in rebates, or up to $8,000 for low- and moderate-income homeowners. Redirecting funding from emissions reductions to general purpose would significantly reduce the benefits the bill would have for U.S. households and their energy bills, and our environment. On August 7, the Senate rejected the Lee amendment by a vote of 49-51 (Senate roll call vote 305). NO IS THE PRO-ENVIRONMENT VOTE.","Clean Energy, Other"
Undermining Environmental Review and Mandating Coal Leasing,"Senator Richard Shelby (R-AL) sponsored an amendment to H.R. 5376, the Inflation Reduction Act (IRA) of 2022, to mandate approval of any coal lease application for which a National Environmental Policy Act (NEPA) process has commenced regardless of health, environmental, or economic impacts. Eliminating the requirement of adequate environmental review and public input, as required by NEPA, would only further harm communities on the frontlines of coal mining, processing, transporting, and burning, as well as our climate and public lands. On August 7, the Senate rejected the Shelby amendment by a vote of 50-50 (Senate roll call vote 306). NO IS THE PRO-ENVIRONMENT VOTE.","Dirty Energy, Environmental Justice, Climate Change, Public Lands/Forests"
Restarting Construction of the Harmful Border Wall,"Senator Dan Sullivan (R-AK) sponsored an amendment to H.R. 5376, the Inflation Reduction Act (IRA) of 2022, to replace the funding for the Office of the Chief Readiness Support Officer with a $500 million appropriation for fencing and barriers along the U.S. southern border. This amendment would have continued to waste taxpayer dollars on a hateful and harmful border wall. It would have exacerbated damage to border communities and the environment they depend on, which includes some of the most fragile and sensitive public lands in the U.S., habitat for imperiled species, and vital migration routes for wildlife. On August 7, the Senate rejected the Sullivan amendment by a vote of 50-50 (Senate roll call vote 320). NO IS THE PRO-ENVIRONMENT VOTE.","Lands/Forests, Environmental Justice"
Anti-Climate Fossil Fuel Industry Handouts,"The Senate considered en bloc amendment 5487 to H.R. 5376, the Inflation Reduction Act (IRA) of 2022, that included  anti-environment amendments from Senators John Barrasso (R-WY), Steve Daines (R-MT), Joni Ernst (R-IA), Deb Fischer (R-NE), Lindsey Graham (R-SC), Lisa Murkowski (R-AK), and Rob Portman (R-OH). These amendments would strike royalty rates for oil and gas extracted from public lands and waters, drastically limit consumer and vehicle eligibility for the clean vehicle tax credits, cut funding for recovery from climate disasters, exempt oil, gas, and coal companies from the newly created corporate minimum tax, and cut assistance to states to modernize their energy codes and lower families’ utility bills. On August 7, the Senate rejected en bloc amendment 5487 by a vote of 50-50 (Senate roll call vote 321). NO IS THE PRO-ENVIRONMENT VOTE. ","Clean Energy, Dirty Energy, Transportation, Climate Change"
Transformational Climate Investments (Inflation Reduction Act),"Senate Majority Leader Chuck Schumer (D-NY) sponsored an amendment to H.R. 5376, introducing the Inflation Reduction Act (IRA) of 2022, to invest roughly $369 billion in climate, clean energy, good jobs, and environmental justice, marking the single largest investment in climate action in U.S. history. The bill incentivizes clean renewable energy, domestic manufacturing, clean vehicles, innovative technologies, and energy efficiency that will save families hundreds of dollars annually, are tied to strong labor provisions, and include added incentives to invest in low-income and fossil-fuel impacted communities. This bill also made a historic $60 billion investment in environmental justice programs, including Environmental and Climate Justice Block Grants, Clean Ports, Reconnecting Communities, Superfund tax reinstatement, and a methane emissions fee and reductions. At the same time, this bill includes provisions requiring oil and gas lease sales that, if successfully bid upon and subsequently approved for drilling, could subject frontline communities to further harm and are inconsistent with our climate and justice goals. Taken as a whole, however, the IRA is a once-in-a-generation bill that makes transformational investments to protect the planet from current and future climate devastation. On August 7, the Senate approved H.R. 5376, as amended, by a vote of 51- 50, with Vice President Kamala Harris’ tie-breaking vote (Senate roll call vote 325). YES IS THE PRO-ENVIRONMENT VOTE. The president signed the Inflation Reduction Act into law on August 16.","Climate Change, Clean Energy, Clean Air, Environmental Justice"
Ratifying Kigali Treaty to Cut Climate Superpollutants,"After being transmitted to the U.S. Senate by President Joe Biden, the upper chamber considered the Kigali Amendment to the Montreal Protocol, a United Nations treaty reached in 2016 to significantly phase down the consumption and production of hydrofluorocarbons – highly potent greenhouse gasses found in air-conditioning systems, insulation, and refrigerators. The amendment also requires signatory parties to establish a licensing system for import and export of hydrofluorocarbons. On September 21, the Senate agreed to the resolution of ratification by a vote of 69-27 (Senate roll call vote 343). YES IS THE PRO-ENVIRONMENT VOTE. With this vote, the United States became the 137th country to ratify this treaty. The Environmental Protection Agency had previously issued rules to reduce these climate super-pollutants in line with the treaty’s requirements.",Climate
Disclosing Money in Politics,"Senator Sheldon Whitehouse (D-RI) sponsored S. 4822, the Democracy Is Strengthened by Casting Light On Spending in Elections (DISCLOSE) Act of 2022, which would expand the prohibition on campaign spending by foreign nationals and require additional disclosures of campaign expenditures and certain political advertisements. Undisclosed and unlimited secret campaign contributions by fossil fuel interests threaten both our environment and our democracy. They distort our politics and drown out communities of color and communities with low wealth – who are most impacted by the climate crisis and pollution – by giving even more power to polluters and the super wealthy. Supreme Court decisions such as Citizens United v. Federal Election Commission severely limit Congress’ ability to enact many common-sense limits on money in politics, and this legislation would make significant strides in ensuring the people can see where that money comes from. On September 22, the Senate failed to invoke cloture on the motion to proceed to S. 4822 by a vote of 49-49 (Senate roll call vote 346). YES IS THE PRO-ENVIRONMENT VOTE.",Justice and Democracy
Freeman Confirmation (Third Circuit Court of Appeals),"The Senate considered President Joe Biden’s nomination of Arianna J. Freeman to serve as a circuit judge of the United States Court of Appeals for the Third Circuit. The Third Circuit is the most powerful federal court in Pennsylvania, New Jersey, and Delaware besides the Supreme Court. Federal judges serve for life and the laws that protect our environment and democracy are only as strong as the judges who uphold and enforce them. Prior to her judicial service, Freeman was a long-serving federal public defender in the Eastern District of Pennsylvania, which includes Philadelphia. Public defenders are a critical bulwark for civil rights and civil liberties in a criminal justice system with pervasive racial disparities. As the first Black woman ever to serve on the Third Circuit, and as a career public-interest lawyer, Freeman brings personal and professional diversity to a judiciary that has long been dominated by White male judges appointed after careers in private law firms or as prosecutors. On September 29, the Senate confirmed Freeman to be a circuit judge of the United States Court of Appeals for the Third Circuit by a vote of 50-47 (Senate Roll Call Vote 350). YES IS THE PRO-ENVIRONMENT VOTE.",Justice and Democracy
Protecting Marriage Equality,"The Senate considered H.R. 8404, the Respect for Marriage Act, as amended, to protect same-sex and interracial marriages under federal law; to require states to accord full faith and credit to out-of-state marriages without discrimination on the basis of sex, race, ethnicity, or national origin; and to provide for enforcement of the right to marriage equality. The rights to same-sex and interracial marriages are protected by the United States Constitution under landmark Supreme Court precedents including Loving v. Virginia, United States v. Windsor, and Obergefell v. Hodges. However, in 2022 the Supreme Court removed a constitutional right for the first time in Dobbs v. Jackson Women’s Health Organization, which ended the right to abortion access. The decision in Dobbs, as well as Justice Clarence Thomas’ concurring opinion explicitly calling for the Court to “reconsider” Obergefell, led House Chair Jerrold Nadler (D-NY) and others to propose statutory protections for the right to marriage equality. Additionally, majority support for this bill in Congress highlights the extreme decisions of the current Supreme Court majority, that has also undermined protections for the environment, democracy, and racial justice. On November 29, the Senate approved H.R. 8404 by a vote of 61-36 (Senate roll call vote 362). YES IS THE PRO-ENVIRONMENT VOTE. The House approved the Senate-amended H.R. 8404 on December 8, and the president signed this legislation into law on December 13.",Justice and Democracy
Undermining Environmental Review and Mandating Gas Pipeline,"Senator Joe Manchin (D-WV) sponsored the Building American Energy Security Act, which was included as an amendment to the National Defense Authorization Act (NDAA) for Fiscal Year 2023, which had been inserted into H.R. 7776, the Water Resources Development Act (WRDA). This amendment would allow a broad spectrum of energy-related projects to short circuit environmental review and public input, curtail judicial review, hand project developers veto power over comment period extensions, and require agencies to approve the unnecessary and harmful methane gas Mountain Valley Pipeline, among other damaging actions. Taken together, these changes would further prioritize the fossil fuel industry at the expense of our climate and the health of communities of color and low-wealth communities already disproportionately harmed by fossil fuel extraction, pipelines, processing, and burning. Research indicates that robust public engagement early in project development is more likely to improve projects’ designs, completion timelines, and benefits to communities than shortchanging environmental review and public input. On December 15, the Senate failed to invoke cloture on NDAA with the Manchin amendment by a vote of 47-47 (Senate roll call vote 394). NO IS THE PRO-ENVIRONMENT VOTE. The Senate subsequently passed the NDAA without Manchin’s legislation on December 15, and the president signed the NDAA into law on December 23.","Dirty Energy, Environmental Justice, Other"
Certifying Arizona’s Electoral Votes,"Senator Ted Cruz (R-TX) objected to the certification of Arizona’s electoral college votes in the 2020 presidential election, peddling unfounded claims of widespread voter fraud. The former president’s and members of Congress’ repeated lies about the election results directly led to the January 6 white supremacist insurrection that stormed the U.S. Capitol and resulted in multiple deaths. Efforts to use lies and conspiracy theories to overturn an election undermine the fundamental democratic principles of our nation and are in direct conflict with the constitutional duties of members of Congress. On January 6, the Senate rejected the objection to Arizona’s electoral college votes by a vote of 6-93 (Senate roll call vote 1). NO IS THE PRO-ENVIRONMENT VOTE. Arizona’s electoral votes were certified.",Justice and Democracy
Certifying Pennsylvania’s Electoral Votes,"Senator Josh Hawley (R-MO) objected to the certification of Pennsylvania’s electoral college votes in the 2020 presidential election, peddling unfounded claims of widespread voter fraud. The former president and members of Congress’ repeated lies about the election results directly led to the January 6 white supremacist insurrection that stormed the U.S. Capitol and resulted in multiple deaths. Efforts to use lies and conspiracy theories to overturn an election undermine the fundamental democratic principles of our nation and are in direct conflict with the constitutional duties of members of Congress. On January 7, the Senate rejected the objection to Pennsylvania’s electoral college votes by a vote of 7-92 (Senate roll call vote 2). NO IS THE PRO-ENVIRONMENT VOTE. Pennsylvania’s electoral votes were certified.",Justice and Democracy
Buttigieg Confirmation (Transportation Secretary),"The Senate considered President Biden’s nomination of Pete Buttigieg to serve as transportation secretary. The Department of Transportation (DOT) is responsible for ensuring that the nation has a safe and efficient transportation system. The transportation sector is now the largest source of greenhouse gas emissions in the U.S., and most of these emissions come from passenger vehicles. Under the secretary’s leadership, comprehensive rulemaking, funding, and other actions can help to reduce emissions and drive us to a zero-emission future. Prior to his nomination, Buttigieg advocated for clean, place-based transportation at the local level. Buttigieg also made history as the first openly gay nominee to serve as a Cabinet secretary. On February 2, the Senate confirmed Buttigieg to be secretary of transportation by a vote of 86-13 (Senate roll call vote 11). YES IS THE PRO-ENVIRONMENT VOTE. ","Other, Transportation"
Promoting Drilling for Fossil Fuels,"Senator Mike Braun (R-IN) sponsored an amendment to S. Con. Res. 5, the Fiscal Year 2021 Budget Resolution, which would prohibit the Environmental Protection Agency (EPA) and Council on Environmental Quality (CEQ) from proposing rules or guidance that would ban fracking, a destructive process of oil and gas drilling, in the United States -- an authority that the EPA and CEQ do not currently have. This was a symbolic amendment, demonstrating a desire to keep us addicted to fossil fuels. On February 4, the Senate approved the Braun amendment by a vote of 57-43 (Senate roll call vote 28). NO IS THE PRO-ENVIRONMENT VOTE.The Braun amendment was not included in the final S. Con. Res.5, which was approved by the House on February 5.  ","Dirty Energy, Drilling"
Supporting the Destructive Keystone XL Pipeline,"Senator Steve Daines (R-MT) sponsored an amendment to S. Con. Res. 5, the Fiscal Year 2021 Budget Resolution, which would keep the Keystone XL pipeline alive at the bequest of oil and gas CEOs. The Keystone XL pipeline would threaten numerous waterways, drinking water sources, and Indigenous lands across the Great Plains, and undercut the credibility and influence of the United States when urging other countries to take ambitious climate action, ultimately undermining U.S. climate leadership. The United States must exercise vigorous climate leadership to achieve a significant increase in global climate action and put the world on a sustainable climate pathway. On February 5, the Senate approved the Daines amendment by a vote of 52-48 (Senate roll call vote 32). NO IS THE PRO-ENVIRONMENT VOTE. The Daines amendment was not included in the final S. Con. Res. 5, which was approved by the House on February 5.","Dirty Energy, Environmental Justice"
Bolstering the Dirty Water Rule,"Senator Shelley Capito (R-WV) sponsored an amendment to S. Con. Res. 5, the Fiscal Year 2021 Budget Resolution, which threatened to lock in place the Trump administration’s dangerous “Dirty Water Rule” and prohibit the EPA from crafting stronger regulations to protect critical waterways like our streams and wetlands. The Dirty Water Rule represented the most severe weakening of federal Clean Water Act protections in the law’s history, jeopardizing the waters our families and communities depend on. It is critical that the EPA is able to replace this disastrous law with protections that are grounded in science and protect public health and the environment. On February 5, the Senate approved the Capito amendment by a vote of 51-49 (Senate roll call vote 43). NO IS THE PRO-ENVIRONMENT VOTE. Although it is a symbolic amendment, the Capito amendment was included in the final S. Con. Res. 5, which was approved by the House on February 5. ",Clean Water
Impeachment for Incitement of Insurrection,"The House delivered articles of impeachment to the Senate, H. Res. 24, impeaching President Donald Trump for incitement of insurrection. Trump encouraged and incited the deadly mob on January 6, and he perpetuated the unfounded and harmful claims about the 2020 election that inspired their actions. The riot caused multiple deaths and directly threatened our democratic process, and the president responded with inaction, followed by further defense of the violent behavior. Holding elected officials accountable and ensuring our elections remain free and fair are essential for the preservation of our democracy. On February 13, the Senate failed to convict by a vote of 57-43 (67 vote threshold; Senate roll call vote 59). GUILTY IS THE PRO-ENVIRONMENT VOTE.",Justice and Democracy
Granholm Confirmation (Energy Secretary),"The Senate considered President Biden’s nomination of Jennifer Granholm to serve as secretary of energy. The Department of Energy oversees the country’s energy, environmental and nuclear policy with a focus on transformative science and technology solutions. As Michigan governor, Granholm led policies that reduce pollution, accelerate clean energy, and promote environmental justice. Additionally, Granholm’s experience helping to rebuild the American auto industry during the last recession is invaluable as the Biden-Harris administration works to deliver a 100% clean energy economy. On February 25, the Senate confirmed Granholm to be secretary of energy by a vote of 64-35 (Senate roll call vote 66). YES IS THE PRO-ENVIRONMENT VOTE. ","Other, Clean Energy"
Raimondo Confirmation (Commerce Secretary),"The Senate considered President Biden’s nomination of Gina M. Raimondo to serve as secretary of commerce. The secretary of commerce oversees the National Oceanic and Atmospheric Administration (NOAA) and is well positioned to strengthen the agency’s mission, reestablish a culture of scientific integrity, and lead on ocean conservation. As the first female governor of Rhode Island, Raimondo committed Rhode Island to 100% renewable energy by 2030, and oversaw the development of the first offshore wind farm in the United States. Raimondo’s firsthand experience transitioning to a clean energy economy that creates good paying jobs at every skill level is a valuable asset to the Department of Commerce. On March 2, the Senate confirmed Raimondo to be secretary of commerce by a vote of 84-15 (Senate roll call vote 70). YES IS THE PRO-ENVIRONMENT VOTE.","Other, Oceans"
Striking Provisions to Help Farmers of Color,"Senator Pat Toomey (R-PA) sponsored an amendment to H.R. 1319, the American Rescue Plan Act of 2021, which would have stricken a provision to provide $5 billion in aid, largely in the form of debt relief to disadvantaged farmers of color, who have historically been marginalized by the U.S. Department of Agriculture (USDA). The combination of systemic racism and the federal government’s well-documented discriminatory policies and actions has led Black farmers to lose 90% of their farmland over the last century, and the number of Black farmers has dropped from 1 million to only 45,000 today. The COVID-19 pandemic only further exacerbated and highlighted the lack of support for farmers of color. The Toomey amendment undermined attempts to advance equity and begin addressing historic injustices farmers of color have experienced because of the USDA. On March 6, the Senate rejected the Toomey amendment by a vote of 49-50 (Senate roll call vote 86). NO IS THE PRO-ENVIRONMENT VOTE.","Environmental Justice, Agriculture"
Fudge Confirmation (Housing and Urban Development Secretary),"The Senate considered President Biden’s nomination of Marcia Fudge to serve as secretary of housing and urban development (HUD). As a member of Congress, Fudge built a strong record advocating for environmental justice and earned a lifetime 93% LCV score. Her leadership of HUD will be crucial in building healthier, more climate-resilient communities and promoting safe, affordable, and energy-efficient housing. Additionally, HUD will play a key role in building up resilience in urban communities and making renewable energy available to frontline communities. On March 10, the Senate confirmed Fudge to be secretary of housing and urban development by a vote of 66-34 (Senate roll call vote 113). YES IS THE PRO-ENVIRONMENT VOTE.","Other, Environmental Justice"
Garland Confirmation (Attorney General),"The Senate considered President Biden’s nomination of Judge Merrick Garland to serve as attorney general. As the nation’s top law enforcement agency, the Department of Justice is responsible for safeguarding our civil and constitutional rights, including our right to live free from toxic air and polluted waters. Garland presided over several critical environmental cases as chief judge of the U.S. Court of Appeals for the District of Columbia Circuit and was nominated to the U.S. Supreme Court by former President Obama in 2016. His even-handed and science-based approach will restore independence and integrity to the department, rebuild public trust in the rule of law, prioritize the robust enforcement of our environmental and civil rights laws, protect the fundamental right to vote, fight for environmental justice and seek the fair application of justice. On March 10, the Senate confirmed Garland to be attorney general by a vote of 70-30 (Senate roll call vote 114). YES IS THE PRO-ENVIRONMENT VOTE.","Other, Justice and Democracy"
Regan Confirmation (EPA Administrator),"The Senate considered President Biden’s nomination of Michael Regan to serve as the Environmental Protection Agency (EPA) administrator. EPA uses science to protect our air and water, address climate change, and safeguard public health. The administrator is tasked with rebuilding the environmental regulations and programs that were dismantled by the previous administration. Regan is committed to doing this work while advancing climate action and racial justice. He has a long record of engaging stakeholders to build consensus and fighting for environmental justice in North Carolina. On March 10, the Senate confirmed Regan to be the EPA administrator by a vote of 66-34 (Senate roll call vote 116). YES IS THE PRO-ENVIRONMENT VOTE.","Other, Climate Change, Water, Air, Environmental Justice"
